Num_Anche force_constructeur K0 K1 x0 Delta_K K00 K01 x00 
31 3.5 1.5141669142830358 -0.027431564250920238 -0.0013618742269493624 -0.00358656700429022 -0.105302448087692 0.0015019697831414086 -0.39572661651211927 
32 3.5 1.3824642909639093 -0.02441566469896231 -0.12151248379085032 0.051336809407930784 -0.15400105107304787 0.0015658860225414002 -0.6288595275697655 
33 3.5 1.2314993142088395 -0.021814708993164234 -0.22820358489476905 0.1156243188786461 -0.21842660336368544 0.0027856853765937193 -0.091039282591482 
34 3.5 1.1878152615942932 -0.0192319248570294 -0.3337224627113841 0.13449006410063147 -0.08241747549520334 -0.0004017203734547058 -3.1471963422371956 
35 3.5 1.3351449422263642 -0.023194057048433022 -0.23121969519746086 0.10078099251789419 -0.02915079127853731 -0.00026538384489363547 1.0378585857091422 
36 3.5 1.3145415457925527 -0.021950653361695733 -0.08043952121197027 0.014961071365589718 -0.10993432269112031 0.00035634694627581455 5.749542795435795 
37 3.5 1.3647812230079601 -0.022622903619639565 -0.19482728858941442 0.09165417512357205 -0.14377328614213578 0.001384311648379741 -0.22014096130802738 
38 3.5 1.3286407319922569 -0.023866321161929424 -0.026397024721542678 0.01004325636658776 -0.10763913929314997 0.0012029409273340969 0.085672690148824 
39 3.5 1.3507330339703283 -0.024138903562855852 0.11128775227687081 -0.016305810080601446 -0.1105928937697633 0.0008765617849122044 0.9008060879687354 
40 3.5 1.2342116944766646 -0.022578699304474592 0.03887968020156075 -0.03236056278658728 -0.25540392032389053 0.004006051372641455 -0.1937234085544139 
41 3.5 1.3913250251355092 -0.022888755176346202 -0.16333262339035284 0.08785579858161263 -0.13908824504288536 0.000807278803631877 0.7254529004157719 
42 3.5 1.4565909522948637 -0.025990796098348385 -0.04272787044214248 0.01535489731310552 -0.21184204257848066 0.0028575078916297323 0.8059928923375773 
43 3.5 1.2484929300798462 -0.022598385215588716 -0.23610430336272234 0.04389051744606781 -0.19068410604451647 0.002709287181697688 -0.6634057438486886 
44 3.5 1.3272598347587055 -0.02305737912993178 -0.2184064191482794 0.13543679668702047 0.020951185367684737 -0.0014039641631040046 -1.0183782293042585 
45 3.5 1.3951132974355283 -0.0240648293833547 -0.3008624285917462 0.10766137714896579 -0.15473956380823012 0.0018361869745167736 0.5383479078558765 
46 3.5 1.6307094924269172 -0.027177103770110386 -0.11899966411427083 0.03310925891951566 0.004604196428160167 -0.0017491260719349991 -0.4612530495514644 
47 3.5 1.4109801560527884 -0.024210990070793335 -0.08071531342306144 0.04613212462498001 -0.061894154282262664 -0.0003672931238083786 -1.221434523022974 
48 3.5 1.1017229801321131 -0.019543483690746124 -0.19118471805976578 0.047014912989929714 -0.2118759253906543 0.00345465830189235 -0.0704635817702901 
49 3.5 1.3172878467092102 -0.02288723633557882 -0.19667019411068182 0.03785859977158801 -0.1568862350012058 0.0014457140175523223 -0.3921571396991036 
50 3.5 1.255822279769605 -0.020950194969220674 0.04760194233953291 -0.017685575366758743 -0.07501912451737971 0.00043057020645523064 2.732248693786283 
51 3.5 1.5264413838067779 -0.027881824482695973 -0.16426324817890228 0.060665865099657434 0.018744064123464667 -0.002096134279778792 -0.19946161975022045 
52 3.5 1.3244026389155839 -0.02283610360915855 0.0913914173905889 0.01462424557882347 -0.136355872080282 0.0011209141820116117 0.898239873724091 
53 3.5 1.5413953716150683 -0.027725300095529246 -0.18100903927262918 0.07974855021739319 -0.22435238635955035 0.003409656736236955 0.005852693750030591 
54 3.5 1.3100154922853764 -0.023748007419282742 -0.07127237723102553 0.03581224574470415 -0.12506928217941185 0.0013750529465157797 0.23655848800880716 
55 3.5 1.5174347907092272 -0.02696378962403396 -0.22916056766044723 0.105327425018514 -0.03445777291887919 -0.0006529944819195226 -0.3563702170339318 
56 3.5 1.2791473298259766 -0.023337616399668817 -0.2636125521618651 0.08669027952911262 -0.11138885332271388 0.0010624798571501669 1.150958033293975 
57 3.5 1.438171211849833 -0.026746166604305708 -0.18856611944593565 0.13693186206507385 0.054064642283096605 -0.001913875268924349 1.1927853389729437 
58 3.5 1.4389876373607535 -0.027103266726032096 -0.15453735051012313 0.035132971543726965 -0.06168756992607548 7.131975846491328e-05 16.06092824791346 
59 3.5 1.3000683002323958 -0.022570286064778414 -0.1069769409647652 0.033833439440625446 -0.18809673933736168 0.002246199978870726 -0.12203097015826603 
